2026-04-11 00:18:38.752[cgsdk][DEBUG][36548| 2740] cgsdk::CgSdkImpl::IsCloudGameEnv
2026-04-11 00:18:38.752[cgsdk][ WARN][36548| 2740] BOOL check failed
2026-04-11 00:18:38.752[cgsdk][DEBUG][36548| 2740] cgsdk::CgSdkImpl::IsCloudGameEnv
2026-04-11 00:18:38.752[cgsdk][ WARN][36548| 2740] BOOL check failed
2026-04-11 00:18:38.763[cgsdk][DEBUG][36548| 2740] cgsdk::CgSdkImpl::IsCloudGameEnv
2026-04-11 00:18:38.764[cgsdk][ WARN][36548| 2740] BOOL check failed
2026-04-11 00:18:38.934[cgsdk][DEBUG][36548| 2740] cgsdk::CgSdkImpl::IsCloudGameEnv
2026-04-11 00:18:38.934[cgsdk][ WARN][36548| 2740] BOOL check failed
2026-04-11 00:18:39.090[cgsdk][DEBUG][36548| 2740] cgsdk::CgSdkImpl::IsCloudGameEnv
2026-04-11 00:18:39.091[cgsdk][ WARN][36548| 2740] BOOL check failed
2026-04-11 00:18:39.653[cgsdk][DEBUG][36548| 2740] cgsdk::CgSdkImpl::IsCloudGameEnv
2026-04-11 00:18:39.653[cgsdk][ WARN][36548| 2740] BOOL check failed
2026-04-11 00:18:50.049[cgsdk][DEBUG][36548| 2740] cgsdk::CgSdkImpl::IsCloudGameEnv
2026-04-11 00:18:50.050[cgsdk][ WARN][36548| 2740] BOOL check failed
2026-04-11 00:26:28.934[cgsdk][DEBUG][36548| 2740] cgsdk::CgSdkImpl::IsCloudGameEnv
2026-04-11 00:26:28.937[cgsdk][ WARN][36548| 2740] BOOL check failed
2026-04-11 00:26:28.937[cgsdk][DEBUG][36548| 2740] cgsdk::CgSdkImpl::IsCloudGameEnv
2026-04-11 00:26:28.937[cgsdk][ WARN][36548| 2740] BOOL check failed
2026-04-11 00:35:18.976[cgsdk][DEBUG][36548| 2740] cgsdk::CgSdkImpl::IsCloudGameEnv
2026-04-11 00:35:18.976[cgsdk][ WARN][36548| 2740] BOOL check failed
2026-04-11 00:35:18.977[cgsdk][DEBUG][36548| 2740] cgsdk::CgSdkImpl::IsCloudGameEnv
2026-04-11 00:35:18.977[cgsdk][ WARN][36548| 2740] BOOL check failed
2026-04-11 00:48:44.008[cgsdk][DEBUG][36548| 2740] cgsdk::CgSdkImpl::IsCloudGameEnv
2026-04-11 00:48:44.009[cgsdk][ WARN][36548| 2740] BOOL check failed
2026-04-11 00:48:44.010[cgsdk][DEBUG][36548| 2740] cgsdk::CgSdkImpl::IsCloudGameEnv
2026-04-11 00:48:44.012[cgsdk][ WARN][36548| 2740] BOOL check failed
2026-04-11 00:59:24.652[cgsdk][DEBUG][36548| 2740] cgsdk::CgSdkImpl::IsCloudGameEnv
2026-04-11 00:59:24.653[cgsdk][ WARN][36548| 2740] BOOL check failed
2026-04-11 00:59:24.654[cgsdk][DEBUG][36548| 2740] cgsdk::CgSdkImpl::IsCloudGameEnv
2026-04-11 00:59:24.654[cgsdk][ WARN][36548| 2740] BOOL check failed
2026-04-11 01:00:34.243[cgsdk][DEBUG][36548| 2740] cgsdk::CgSdkImpl::IsCloudGameEnv
2026-04-11 01:00:34.243[cgsdk][ WARN][36548| 2740] BOOL check failed
2026-04-11 01:00:34.466[cgsdk][DEBUG][36548| 2740] cgsdk::CgSdkImpl::UnInit
2026-04-11 01:00:34.466[cgsdk][ WARN][36548| 2740] NULL check failed!
2026-04-11 01:00:34.467[cgsdk][DEBUG][36548| 2740] cgsdk-loader unloadCgSdk
